county,state_po,fips,x2008,x2012,x2016,x2008_margin,x2012_margin,x2016_margin
Autauga,AL,01001,R,R,R,47.84,46.03,49
Baldwin,AL,01003,R,R,R,51.45,55.77,57.16
Barbour,AL,01005,R,D,R,1.45,3.15,5.57
Bibb,AL,01007,R,R,R,45.85,46.67,55.15
Blount,AL,01009,R,R,R,69.51,74.09,80.91
Bullock,AL,01011,D,D,D,48.38,52.8,50.74
Butler,AL,01013,R,R,R,13.36,7.51,13.46
Calhoun,AL,01015,R,R,R,32.52,31.92,41
Chambers,AL,01017,R,R,R,8.48,5.17,14.81
Cherokee,AL,01019,R,R,R,51.23,54.95,69
Chilton,AL,01021,R,R,R,57.84,60.33,66.25
Choctaw,AL,01023,R,R,R,7.44,4.59,13.67
Clarke,AL,01025,R,R,R,11.55,8.2,10.67
Clay,AL,01027,R,R,R,47.28,45.63,60.51
Cleburne,AL,01029,R,R,R,62.35,68.22,77.05
Coffee,AL,01031,R,R,R,48.89,49.27,56.12
Colbert,AL,01033,R,R,R,20.27,20.4,37.86
Conecuh,AL,01035,R,D,R,0.59,1.65,5.16
Coosa,AL,01037,R,R,R,17.53,16.28,30.45
Covington,AL,01039,R,R,R,58.3,58.32,68.26
Crenshaw,AL,01041,R,R,R,37.85,35.54,45.46
Cullman,AL,01043,R,R,R,65.24,69.5,77.08
Dale,AL,01045,R,R,R,44.6,42.15,50.11
Dallas,AL,01047,D,D,D,34.47,39.73,37.5
DeKalb,AL,01049,R,R,R,51.21,54.86,68.86
Elmore,AL,01051,R,R,R,50.93,48.75,51.51
Escambia,AL,01053,R,R,R,28.53,25.54,35.9
Etowah,AL,01055,R,R,R,38.22,38.39,49.61
Fayette,AL,01057,R,R,R,48.88,53.32,64.86
Franklin,AL,01059,R,R,R,39.16,40.48,60.37
Geneva,AL,01061,R,R,R,62.48,63.04,72.03
Greene,AL,01063,D,D,D,66.58,69.61,65.06
Hale,AL,01065,D,D,D,21.69,25.47,19.93
Henry,AL,01067,R,R,R,29.68,29.05,41.38
Houston,AL,01069,R,R,R,40.8,40.32,47.06
Jackson,AL,01071,R,R,R,36.93,41.88,61.95
Jefferson,AL,01073,D,D,D,5.09,5.99,7.27
Lamar,AL,01075,R,R,R,53.78,53.18,68.72
Lauderdale,AL,01077,R,R,R,28.18,30.87,45.41
Lawrence,AL,01079,R,R,R,28.02,26.96,48.59
Lee,AL,01081,R,R,R,19.76,19.89,22.62
Limestone,AL,01083,R,R,R,41.91,43.62,48.64
Lowndes,AL,01085,D,D,D,50.01,53.06,46.86
Macon,AL,01087,D,D,D,74.05,74.22,67.12
Madison,AL,01089,R,R,R,14.94,18.62,16.34
Marengo,AL,01091,D,D,D,3.57,7.2,3.47
Marion,AL,01093,R,R,R,56.14,61.53,75.8
Marshall,AL,01095,R,R,R,56.35,60.09,68.85
Mobile,AL,01097,R,R,R,8.75,9.23,13.27
Monroe,AL,01099,R,R,R,10.22,7.72,14.24
Montgomery,AL,01101,D,D,D,19.22,24.29,25.98
Morgan,AL,01103,R,R,R,43.76,44.51,51.8
Perry,AL,01105,D,D,D,45.1,50.2,45.79
Pickens,AL,01107,R,R,R,8.34,6.96,15.55
Pike,AL,01109,R,R,R,15.23,13.67,20.03
Randolph,AL,01111,R,R,R,39.59,39.87,53.15
Russell,AL,01113,D,D,D,7.3,11.77,1.92
Shelby,AL,01117,R,R,R,53.43,55.55,49.42
St. Clair,AL,01115,R,R,R,63.24,66.09,67.87
Sumter,AL,01119,D,D,D,50.33,54.58,49.37
Talladega,AL,01121,R,R,R,18.52,16,25.42
Tallapoosa,AL,01123,R,R,R,36.52,32.27,41.44
Tuscaloosa,AL,01125,R,R,R,15.98,17.43,19.3
Walker,AL,01127,R,R,R,46.43,52.92,67.08
