county,state_po,fips,x2008,x2012,x2016,x2008_margin,x2012_margin,x2016_margin
Barbour,AL,1005,R,D,R,1.45,3.15,5.57
Conecuh,AL,1035,R,D,R,0.59,1.65,5.16
Woodruff,AR,5147,D,D,R,7.46,4.21,8.91
Butte,CA,6007,D,R,R,2.35,1.99,3.74
Trinity,CA,6105,D,R,R,4.6,0.74,10.52
Chaffee,CO,8015,R,D,R,0.12,0.15,4.47
Conejos,CO,8021,D,D,R,12.93,9.22,3.56
Huerfano,CO,8055,D,D,R,11.23,8.27,6.61
Las Animas,CO,8071,D,D,R,7.04,2.65,15.6
Pueblo,CO,8101,D,D,R,14.97,13.99,0.5
Litchfield,CT,9005,D,R,R,4.92,3.62,13.62
Windham,CT,9015,D,D,R,22.97,13.31,7.78
Kent,DE,10001,D,D,R,9.81,4.94,4.88
Flagler,FL,12035,D,R,R,1.58,7.44,20.56
Jefferson,FL,12065,D,D,R,3.66,1.75,5.09
Monroe,FL,12087,D,D,R,4.9,0.44,6.9
Pinellas,FL,12103,D,D,R,8.25,5.65,1.12
St. Lucie,FL,12111,D,D,R,12.12,7.86,2.42
Volusia,FL,12127,D,R,R,5.68,1.17,13
Baker,GA,13007,D,D,R,1.07,0.57,8.68
Chattahoochee,GA,13053,D,R,R,1.15,0.4,11.29
Dooly,GA,13093,D,D,R,3.53,6.98,2.05
Early,GA,13099,R,D,R,2.02,3.89,8.03
Peach,GA,13225,D,D,R,6.75,7.48,2.91
Quitman,GA,13239,D,D,R,7.9,9.04,10.92
Twiggs,GA,13289,D,D,R,6.97,8.64,1.58
Adams,IA,19003,D,R,R,3.26,3.66,39.41
Allamakee,IA,19005,D,D,R,14.25,4.17,24.15
Audubon,IA,19009,D,R,R,3.06,5.53,30.95
Benton,IA,19011,D,R,R,4.46,0.56,25.67
Boone,IA,19015,D,D,R,7.63,6.64,13.69
Bremer,IA,19017,D,D,R,9.32,2.68,13.68
Buchanan,IA,19019,D,D,R,18.49,13.87,15.02
Carroll,IA,19027,D,R,R,3.66,6.13,31.57
Cedar,IA,19031,D,D,R,9.64,4.59,17.78
Cerro Gordo,IA,19033,D,D,R,20.84,13.38,7.66
Chickasaw,IA,19037,D,D,R,20.75,11.07,22.94
Clarke,IA,19039,D,D,R,2.25,1.47,28.02
Clayton,IA,19043,D,D,R,17.18,7.03,22.78
Clinton,IA,19045,D,D,R,23.03,22.84,5.12
Crawford,IA,19047,D,R,R,5.15,7.83,37.87
Delaware,IA,19055,D,R,R,6.02,0.21,29.62
Des Moines,IA,19057,D,D,R,23.05,18.41,6.89
Dubuque,IA,19061,D,D,R,20.77,14.71,1.23
Emmet,IA,19063,D,R,R,3.93,8.7,37.18
Fayette,IA,19065,D,D,R,16.6,11.96,19.36
Floyd,IA,19067,D,D,R,21.89,14.63,14.84
Franklin,IA,19069,D,R,R,1.44,10.74,33.62
Greene,IA,19073,D,R,R,0.46,0.1,23.42
Hamilton,IA,19079,D,R,R,1.3,2.64,22.58
Hardin,IA,19083,D,R,R,0.88,6.69,28.91
Howard,IA,19089,D,D,R,25.78,20.95,20.49
Iowa,IA,19095,D,R,R,0.16,4.79,23.82
Jackson,IA,19097,D,D,R,24.4,16.89,19.27
Jasper,IA,19099,D,D,R,7.5,7.07,18.13
Jefferson,IA,19101,D,D,R,20.23,15.97,0.47
Jones,IA,19105,D,D,R,10.41,7.78,19.08
Kossuth,IA,19109,D,R,R,3.25,12.18,36.13
Lee,IA,19111,D,D,R,16.02,15.49,16.02
Louisa,IA,19115,D,D,R,4.25,0.64,28.37
Marshall,IA,19127,D,D,R,9.35,9.36,8.31
Mitchell,IA,19131,D,D,R,12.31,3.37,24.04
Muscatine,IA,19139,D,D,R,15.64,15.88,6.26
Palo Alto,IA,19147,D,R,R,2.79,10.66,35.79
Poweshiek,IA,19157,D,D,R,11.75,9.35,6.53
Tama,IA,19171,D,D,R,12.19,7.43,20.28
Union,IA,19175,D,D,R,3.71,3.86,27.49
Wapello,IA,19179,D,D,R,13.54,11.88,20.6
Warren,IA,19181,D,R,R,0.62,1.92,16.13
Webster,IA,19187,D,D,R,8.52,5.84,21.52
Winnebago,IA,19189,D,R,R,8.62,0.05,26.2
Winneshiek,IA,19191,D,D,R,22.66,14.74,0.79
Woodbury,IA,19193,R,D,R,0.53,1.02,19.48
Worth,IA,19195,D,D,R,22.43,14.53,21.68
Teton,ID,16081,D,R,R,0.84,11.76,0.16
Alexander,IL,17003,D,D,R,12.62,13.65,8.22
Boone,IL,17007,D,R,R,4.2,5.68,14.33
Bureau,IL,17011,D,R,R,5.71,0.18,19.62
Calhoun,IL,17013,D,R,R,7.48,13.98,38.2
Carroll,IL,17015,D,D,R,4.81,1.49,26.69
Cass,IL,17017,D,R,R,1.35,13.45,31.13
Coles,IL,17029,D,R,R,3.2,11.09,26.04
Fulton,IL,17057,D,D,R,21.33,11.04,14.93
Gallatin,IL,17059,D,R,R,13.12,17.99,47.47
Grundy,IL,17063,D,R,R,1.7,8.91,23.19
Henderson,IL,17071,D,D,R,17.67,12.25,28.43
Henry,IL,17073,D,D,R,7.74,3.08,20.75
Jo Daviess,IL,17085,D,D,R,10.49,1.16,14.64
Kankakee,IL,17091,D,R,R,4.63,3.39,13.02
Kendall,IL,17093,D,R,R,7.21,3.33,0.14
Knox,IL,17095,D,D,R,19.89,17.37,2.94
LaSalle,IL,17099,D,R,R,11.1,0.39,14.37
Macon,IL,17115,D,R,R,1.05,5.17,17.73
Macoupin,IL,17117,D,R,R,9.83,7.05,34.14
Madison,IL,17119,D,R,R,9.2,1.38,15.29
Mason,IL,17125,D,R,R,5.89,6.35,31.51
McDonough,IL,17109,D,R,R,5.58,1.45,11.51
McHenry,IL,17111,D,R,R,5.34,8.82,7.63
McLean,IL,17113,D,R,R,1.22,10.99,1.3
Mercer,IL,17131,D,D,R,11.91,7.39,20.36
Montgomery,IL,17135,D,R,R,2.65,14.16,39.5
Pulaski,IL,17153,D,R,R,1.38,5.83,26.07
Putnam,IL,17155,D,D,R,15.64,1.82,19.93
Sangamon,IL,17167,D,R,R,4.36,8.61,9.19
Schuyler,IL,17169,D,R,R,1.75,8.79,37.85
Stephenson,IL,17177,D,R,R,6.67,1.65,16.3
Vermilion,IL,17183,D,R,R,0.58,13.24,29.6
Warren,IL,17187,D,D,R,8.08,5.47,16.5
Whiteside,IL,17195,D,D,R,17.56,17.54,6.18
Delaware,IN,18035,D,D,R,14.98,3.12,13.54
LaPorte,IN,18091,D,D,R,22.04,12.57,6.39
Madison,IN,18095,D,R,R,6.54,4.51,25.56
Perry,IN,18123,D,D,R,22.84,11.59,18.55
Porter,IN,18127,D,D,R,7.2,3.9,6.68
Spencer,IN,18147,D,R,R,0.37,15.31,37.19
Starke,IN,18149,D,R,R,3.22,10.61,42.03
Tippecanoe,IN,18157,D,R,R,11.63,3.6,5.58
Vanderburgh,IN,18163,D,R,R,2.46,10.59,16.5
Vermillion,IN,18165,D,R,R,13.92,6.79,35.05
Vigo,IN,18167,D,D,R,15.83,0.86,15.08
Crawford,KS,20037,D,R,R,1.38,5.9,23
Elliott,KY,21063,D,D,R,25.17,2.5,44.13
Franklin,KY,21073,R,D,R,0.6,0.81,4.62
Hancock,KY,21091,D,R,R,5,9.17,35.95
Henderson,KY,21101,D,R,R,2.65,11.84,27.66
Menifee,KY,21165,D,R,R,4.86,16.78,47.14
Rowan,KY,21205,D,R,R,2.05,7.79,21.24
Wolfe,KY,21237,D,R,R,2.86,22.12,39.89
Kent,MD,24029,D,R,R,0.48,0.28,3
Somerset,MD,24039,R,D,R,2.6,1.9,11.57
Androscoggin,ME,23001,D,D,R,15.22,12.78,9.38
Aroostook,ME,23003,D,D,R,9.58,7.62,17.19
Franklin,ME,23007,D,D,R,20.29,18.41,5.47
Kennebec,ME,23011,D,D,R,14.78,13.46,3.58
Oxford,ME,23017,D,D,R,16.04,14.73,12.94
Penobscot,ME,23019,D,D,R,5.12,2.93,10.91
Somerset,ME,23025,D,D,R,5.7,1.68,22.67
Washington,ME,23029,D,D,R,1.01,1.6,18.44
Alger,MI,26003,D,R,R,5.98,2.56,20.41
Alpena,MI,26007,D,R,R,3.84,5.34,28.66
Arenac,MI,26011,D,R,R,4.28,4.95,33.34
Bay,MI,26017,D,D,R,15.31,5.56,12.62
Benzie,MI,26019,D,R,R,7.41,3.94,13.99
Berrien,MI,26021,D,R,R,5.47,6.54,12.71
Calhoun,MI,26025,D,D,R,9.36,1.6,12.46
Cass,MI,26027,D,R,R,4.11,13.64,30.86
Clare,MI,26035,D,R,R,4.83,4.81,31.79
Clinton,MI,26037,D,R,R,0.69,6.27,12.65
Delta,MI,26041,D,R,R,6.35,6.67,25.34
Eaton,MI,26045,D,D,R,8.4,3.13,4.75
Gladwin,MI,26051,D,R,R,1.5,7.16,34.72
Gogebic,MI,26053,D,D,R,17.27,8.1,14.91
Gratiot,MI,26057,D,R,R,4.41,3.94,25.59
