county,state_po,fips,x2008,x2012,x2016,x2008_margin,x2012_margin,x2016_margin
Woodruff,AR,5147,D,D,R,7.46,4.21,8.91
Conejos,CO,8021,D,D,R,12.93,9.22,3.56
Huerfano,CO,8055,D,D,R,11.23,8.27,6.61
Las Animas,CO,8071,D,D,R,7.04,2.65,15.6
Pueblo,CO,8101,D,D,R,14.97,13.99,0.5
Windham,CT,9015,D,D,R,22.97,13.31,7.78
Kent,DE,10001,D,D,R,9.81,4.94,4.88
Jefferson,FL,12065,D,D,R,3.66,1.75,5.09
Monroe,FL,12087,D,D,R,4.9,0.44,6.9
Pinellas,FL,12103,D,D,R,8.25,5.65,1.12
St. Lucie,FL,12111,D,D,R,12.12,7.86,2.42
Baker,GA,13007,D,D,R,1.07,0.57,8.68
Dooly,GA,13093,D,D,R,3.53,6.98,2.05
Peach,GA,13225,D,D,R,6.75,7.48,2.91
Quitman,GA,13239,D,D,R,7.9,9.04,10.92
Twiggs,GA,13289,D,D,R,6.97,8.64,1.58
Allamakee,IA,19005,D,D,R,14.25,4.17,24.15
Boone,IA,19015,D,D,R,7.63,6.64,13.69
Bremer,IA,19017,D,D,R,9.32,2.68,13.68
Buchanan,IA,19019,D,D,R,18.49,13.87,15.02
Cedar,IA,19031,D,D,R,9.64,4.59,17.78
Cerro Gordo,IA,19033,D,D,R,20.84,13.38,7.66
Chickasaw,IA,19037,D,D,R,20.75,11.07,22.94
Clarke,IA,19039,D,D,R,2.25,1.47,28.02
Clayton,IA,19043,D,D,R,17.18,7.03,22.78
Clinton,IA,19045,D,D,R,23.03,22.84,5.12
Des Moines,IA,19057,D,D,R,23.05,18.41,6.89
Dubuque,IA,19061,D,D,R,20.77,14.71,1.23
Fayette,IA,19065,D,D,R,16.6,11.96,19.36
Floyd,IA,19067,D,D,R,21.89,14.63,14.84
Howard,IA,19089,D,D,R,25.78,20.95,20.49
Jackson,IA,19097,D,D,R,24.4,16.89,19.27
Jasper,IA,19099,D,D,R,7.5,7.07,18.13
Jefferson,IA,19101,D,D,R,20.23,15.97,0.47
Jones,IA,19105,D,D,R,10.41,7.78,19.08
Lee,IA,19111,D,D,R,16.02,15.49,16.02
Louisa,IA,19115,D,D,R,4.25,0.64,28.37
Marshall,IA,19127,D,D,R,9.35,9.36,8.31
Mitchell,IA,19131,D,D,R,12.31,3.37,24.04
Muscatine,IA,19139,D,D,R,15.64,15.88,6.26
Poweshiek,IA,19157,D,D,R,11.75,9.35,6.53
Tama,IA,19171,D,D,R,12.19,7.43,20.28
Union,IA,19175,D,D,R,3.71,3.86,27.49
